,Simulation,Timestep,A,CQY,CUE_24,DCG,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2
168,168,29,0.8091171511443286,0.06048415889595569,0.625,0.5541552295650576,16.638510767690853,146.30076078930637,138.9822326081174,7.040725377439691,603.9622237834985,-596.9214984060588,15.3932008212516,11.544900615938701,151.0797074255321,2.5,2.4593045194266274,-15108.950098129915,39.0625,39.0625,85.78125,484.375
169,169,29,0.8091171511443286,0.06048415889595569,0.625,0.5541552295650576,16.638510767690853,146.30076078930637,138.9822326081174,3.2339136609210244,277.40915622588165,-274.1752425649606,15.3932008212516,11.544900615938701,69.437643295933,2.5,2.4131191999953474,-6809.445838923596,25.3125,25.3125,85.78125,484.375
170,170,29,0.8091171511443286,0.06048415889595569,0.625,0.5541552295650576,16.638510767690853,146.30076078930637,138.9822326081174,7.040725377439691,537.9554233700014,-530.9146979925617,15.3932008212516,11.544900615938701,134.4976745772137,2.5,2.454378787674404,-13411.306746455131,39.0625,39.0625,76.40625,484.375
171,171,29,0.7764563367113574,0.059114737244280915,0.625,0.519746035576671,15.605374718189546,137.21649885317177,130.35240048236946,7.040725377439691,603.9622237834985,-596.9214984060588,14.437389877129752,10.828042407847313,155.76808113921533,2.5,2.4605100412223844,-15116.356325585857,39.0625,39.0625,85.78125,440.625
172,172,29,0.7764563367113574,0.059114737244280915,0.625,0.519746035576671,15.605374718189546,137.21649885317177,130.35240048236946,7.040725377439691,537.9554233700014,-530.9146979925617,14.437389877129752,10.828042407847313,138.67146715852476,2.5,2.455727597610205,-13418.676963262142,39.0625,39.0625,76.40625,440.625
173,173,29,0.7764563367113574,0.059114737244280915,0.625,0.519746035576671,15.605374718189546,137.21649885317177,130.35240048236946,3.2339136609210244,277.40915622588165,-274.1752425649606,14.437389877129752,10.828042407847313,71.59246360314886,2.5,2.415645941624023,-6816.575909526595,25.3125,25.3125,85.78125,440.625
174,174,29,0.8091171511443286,0.06048415889595569,0.625,0.5541552295650576,16.638510767690853,146.30076078930637,138.9822326081174,3.2339136609210244,247.09121565474703,-243.857301993826,15.3932008212516,11.544900615938701,61.82126008549761,2.5,2.402831505606508,-6030.646064129111,25.3125,25.3125,76.40625,484.375
175,175,29,0.7764563367113574,0.059114737244280915,0.625,0.519746035576671,15.605374718189546,137.21649885317177,130.35240048236946,3.2339136609210244,247.09121565474703,-243.857301993826,14.437389877129752,10.828042407847313,63.739725349103495,2.5,2.405645744044671,-6037.709262660107,25.3125,25.3125,76.40625,440.625
176,176,29,0.6941203743384279,0.05547237097689842,0.625,0.43600342840771283,13.091002937941576,115.10787930822123,109.34973933650011,5.354092650630601,338.8136755477177,-333.4595828970871,12.111206344658692,9.08340475849402,96.52353418443907,2.5,2.4368836908167824,-8363.397957840625,34.0625,34.0625,63.28125,334.375
177,177,29,0.6941203743384279,0.05547237097689842,0.625,0.43600342840771283,13.091002937941576,115.10787930822123,109.34973933650011,4.3310097758455095,274.07171237772366,-269.7407026018781,12.111206344658692,9.08340475849402,78.10447431859458,2.5,2.4224608800834497,-6725.243528725715,30.3125,30.3125,63.28125,334.375
178,178,29,0.6941203743384279,0.05547237097689842,0.625,0.43600342840771283,13.091002937941576,115.10787930822123,109.34973933650011,5.354092650630601,449.24183646697384,-443.88774381634323,12.111206344658692,9.08340475849402,128.14160136091647,2.5,2.452159190220476,-11202.79974362288,34.0625,34.0625,83.90625,334.375
179,179,29,0.8137397699314397,0.06067358216890304,0.625,0.5590666183432216,16.78597521575523,147.59740092990637,140.21400980912196,5.354092650630601,338.8136755477177,-333.4595828970871,15.529628287311713,11.647221215483786,84.35114799834106,2.5,2.4280377963441615,-8333.038800345179,34.0625,34.0625,63.28125,490.625
180,180,29,0.8137397699314397,0.06067358216890304,0.625,0.5590666183432216,16.78597521575523,147.59740092990637,140.21400980912196,5.354092650630601,449.24183646697384,-443.88774381634323,15.529628287311713,11.647221215483786,111.98192515915596,2.5,2.4454062290504717,-11171.948536260108,34.0625,34.0625,83.90625,490.625
