,Timestep,Day,diurnal,A,CQY,CUE_24,HCG,HCGR,HWCGR,HOP,HOC,HTR,HCO2C,HCO2P,HNC,HWC
433,433,18,0,1950.1132371373385,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.8350918108079,0.0,0.0,0.0,1465.8350918108079
434,434,18,0,1961.392061220506,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.8501906406107,0.0,0.0,0.0,1465.8501906406107
435,435,18,0,1972.7099348662898,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.8651685023492,0.0,0.0,0.0,1465.8651685023492
436,436,18,0,1984.0669030367997,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.8800266382032,0.0,0.0,0.0,1465.8800266382032
437,437,18,0,1995.463010642495,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.8947662748114,0.0,0.0,0.0,1465.8947662748114
438,438,18,0,2006.8983025423604,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.9093886235016,0.0,0.0,0.0,1465.9093886235016
439,439,18,0,2018.3728235440867,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.923894880516,0.0,0.0,0.0,1465.923894880516
440,440,18,1,2029.8866184042406,0.054114549544529614,0.625,138.4064639765816,4155.896292208821,83117.92584417635,7653.036832405353,13605.398813165075,1465.9382862272303,10525.711932764965,18712.376769359944,7.067713085295825,86811.09927315354
441,441,18,1,2041.4397318284439,0.054114549544529614,0.625,139.19420530285396,4179.549604077471,83590.99208154934,7696.594143322497,13682.834032573328,1465.9525638303742,10585.619093454226,18818.878388363068,7.107939022145607,87296.85611201558
442,442,18,1,2053.0322084715444,0.054114549544529614,0.625,139.984630583929,4203.28350638599,84065.67012771973,7740.29986063896,13760.533085580371,1465.966728842245,10645.730366973781,18925.742874620053,7.1483020148953385,87784.26783725193
443,443,18,1,2064.6640929377886,0.054114549544529614,0.625,140.77774286111747,4227.098090455059,84541.9618091011,7784.154152520756,13838.49627114801,1465.9807824009142,10706.045984613123,19032.97063931222,7.188802218849267,88273.33632535502
444,444,18,1,2076.3354297809956,0.054114549544529614,0.625,141.57354517229177,4250.993447502112,85019.86895004216,7828.157186943777,13916.723887900049,1465.9947256304397,10766.566177400266,19140.562093156026,7.229439789136063,88764.06345068295
445,445,18,1,2088.046263504726,0.054114549544529614,0.625,142.3720405518975,4274.969668641688,85499.39337283369,7872.309131694436,13995.216234123438,1466.0085596410656,10827.291176102606,19248.51764640463,7.270214880709406,89256.45108546707
446,446,18,1,2099.7966385624513,0.054114549544529614,0.625,143.17323203096487,4299.026844885774,85980.53689771541,7916.610154370295,14073.973607769412,1466.022285529423,10888.221211227818,19356.837708849453,7.3111276483485685,89750.501099819
447,447,18,1,2111.5865993577236,0.054114549544529614,0.625,143.9771226371205,4323.165067144158,86463.30134288307,7961.060422380714,14152.996306454605,1466.0359043787278,10949.356513024713,19465.52268982172,7.352178246659018,90246.21536173826
448,448,18,1,2123.416190244344,0.054114549544529614,0.625,144.78371539459866,4347.384426224765,86947.68852449521,8005.660102947486,14232.284627462197,1466.0494172589717,11010.697311484144,19574.572998194035,7.393366830072996,90743.59573711929
449,449,18,1,2135.2854555265253,0.054114549544529614,0.625,145.59301332425255,4371.685012834,87433.70025667992,8050.40936310544,14311.838867743005,1466.0628252271138,11072.243836339812,19683.98904238189,7.434693552850088,91242.6440897587
450,450,18,1,2147.194439459064,0.054114549544529614,0.625,146.40501944356598,4396.0669175770945,87921.33835154181,8095.308369703106,14391.659323916634,1466.0761293272687,11133.996317069194,19793.77123034523,7.4761585690778185,91743.36228136251
451,451,18,1,2159.1431862475024,0.054114549544529614,0.625,147.21973676666425,4420.530230958436,88410.60461916863,8140.357289403308,14471.746292272546,1466.0893305908892,11195.954982894344,19903.919969589944,7.517762032672216,92245.7521715532
452,452,18,1,2171.1317400482917,0.054114549544529614,0.625,148.03716830432552,4445.075043381907,88901.50086763805,8185.556288683789,14552.10006877118,1466.102430036945,11258.120062782778,20014.435667169382,7.559504097378382,92749.81561787684
453,453,18,1,2183.160144968955,0.054114549544529614,0.625,148.85731706399187,4469.701445151218,89394.02890302427,8230.905533837831,14632.720949045031,1466.1154286721057,11320.491785448296,20125.31872968586,7.601384916771064,93255.55447580997
454,454,18,1,2195.2284450682546,0.054114549544529614,0.625,149.6801860497805,4494.409526470246,89888.19052940485,8276.40519097487,14713.60922839977,1466.1283274909113,11383.070379351853,20236.56956329218,7.643404644255225,93762.97059876693
455,455,18,1,2207.336684356345,0.054114549544529614,0.625,150.50577826249454,4519.199377443358,90383.98754886707,8322.055426021094,14794.765201815275,1466.141127475947,11445.856072702361,20348.188573693085,7.685563433066596,94272.06583810649
456,456,19,0,2219.4849067949403,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.153829598011,0.0,0.0,0.0,1466.153829598011
457,457,19,0,2231.673156297471,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.1664348162815,0.0,0.0,0.0,1466.1664348162815
458,458,19,0,2243.9014767292447,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.178944078481,0.0,0.0,0.0,1466.178944078481
459,459,19,0,2256.1699119076,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.1913583210373,0.0,0.0,0.0,1466.1913583210373
460,460,19,0,2268.4785056020687,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.2036784692427,0.0,0.0,0.0,1466.2036784692427
461,461,19,0,2280.8273015345253,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.2159054374074,0.0,0.0,0.0,1466.2159054374074
462,462,19,0,2293.2163433793494,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.2280401290166,0.0,0.0,0.0,1466.2280401290166
463,463,19,0,2305.6456747635766,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.24008343688,0.0,0.0,0.0,1466.24008343688
464,464,19,1,2318.1153392670517,0.054114549544529614,0.625,158.0591468946432,4746.002489018728,94920.04978037447,8739.71083523919,15537.263707091892,1466.25203624328,12020.284318751852,21369.394344447737,8.071275492934934,98929.78769496798
465,465,19,1,2330.625380422584,0.054114549544529614,0.625,158.9121356994563,4771.614970613649,95432.2994122729,8786.875935432548,15621.11277410231,1466.2638994201177,12085.153503205947,21484.717339032795,8.114833286149047,99455.77547556395
466,466,19,1,2343.175841716094,0.054114549544529614,0.625,159.76788052439395,4797.310206535846,95946.20413071684,8834.193426799833,15705.232758755257,1466.275673829058,12150.232281006183,21600.41294401099,8.158531815272003,99983.46260378
467,467,19,1,2355.7667665867716,0.054114549544529614,0.625,160.62638433132838,4823.088285720714,96461.7657144142,8881.663473114586,15789.623952203705,1466.2873603216713,12215.520877400806,21716.481559823653,8.20237123155153,100512.85090683804
468,468,19,1,2368.3981984272227,0.054114549544529614,0.625,161.48765007895543,4848.949297008275,96978.98594016541,8929.286237974717,15874.286645288385,1466.2989597395713,12281.019517396504,21832.923586482673,8.246351686073153,101043.94220999141
469,469,19,1,2381.0701805836175,0.054114549544529614,0.625,162.35168072280473,4874.893329143477,97497.86658286945,8977.061884803064,15959.221128538782,1466.3104729145537,12346.72842575918,21949.73942357188,8.290473329760717,101576.73833653123
470,470,19,1,2393.7827563558417,0.054114549544529614,0.625,163.21847921525017,4900.920470776513,98018.40941553017,9024.990576847973,16044.427692174175,1466.3219006687293,12412.64782701474,22066.92947024843,8.334736313376915,102111.24110779302
471,471,19,1,2406.535968997645,0.054114549544529614,0.625,164.08804850551968,4927.030810463113,98540.61620926217,9073.072477183834,16129.906626104595,1466.33324381466,12478.777945449847,22184.49412524417,8.379140787523793,102647.45234316285
472,472,19,1,2419.3298617167825,0.054114549544529614,0.625,164.9603915397053,4953.2244366648465,99064.48873329684,9121.307748711648,16215.65821993182,1466.344503155486,12545.11900511268,22302.433786866986,8.42368690264327,103185.37386008381
473,473,19,1,2432.1644776751705,0.054114549544529614,0.625,165.83551126077344,4979.501437749429,99590.0287549885,9169.69655415958,16301.68276295036,1466.3556794850576,12611.671229813715,22420.748853002155,8.468374809017645,103725.00747406221
474,474,19,1,2445.0398599890236,0.054114549544529614,0.625,166.71341060857443,5005.861901991012,100117.23803982015,9218.239056083494,16387.980544148435,1466.3667735880592,12678.434843126448,22539.439721113686,8.5132046567701,104266.35499867373
475,475,19,1,2457.9560517290056,0.054114549544529614,0.625,167.59409251985275,5032.305917570488,100646.11835140968,9266.935416867529,16474.551852208937,1466.3777862401346,12745.410068388188,22658.50678824566,8.558176595865215,104809.41824557
476,476,19,1,2470.9130959203685,0.054114549544529614,0.625,168.47755992825637,5058.8335725757715,101176.67145151534,9315.785798724597,16561.396975510397,1466.3887182080132,12812.597128700749,22777.950451023557,8.603290776109448,105354.19902448423
477,477,19,1,2483.9110355431003,0.054114549544529614,0.625,169.36381576434718,5085.444955002112,101708.89910004215,9364.790363696973,16648.51620212795,1466.3995702496247,12879.996246931252,22897.771105655556,8.648547347151672,105900.69914323794
478,478,19,1,2496.949913532063,0.054114549544529614,0.625,170.25286295561008,5112.140152752365,102242.8030550472,9413.949273656792,16735.909819834294,1466.410343114223,12947.60764571282,23017.9691479339,8.69394645848362,106448.9204077465
479,479,19,1,2510.0297727771404,0.054114549544529614,0.625,171.14470442646314,5138.919253637301,102778.38507274594,9463.262690306608,16823.578116100634,1466.4210375425002,13015.431547445336,23138.54497323615,8.739488259440432,106998.8646220258
480,480,20,0,2523.1506561233737,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.4316542667054,0.0,0.0,0.0,1466.4316542667054
481,481,20,0,2536.312606371103,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.4421940107534,0.0,0.0,0.0,1466.4421940107534
482,482,20,0,2549.5156662761106,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.4526574903402,0.0,0.0,0.0,1466.4526574903402
483,483,20,0,2562.7598785497557,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.4630454130527,0.0,0.0,0.0,1466.4630454130527
484,484,20,0,2576.045285859113,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.4733584784733,0.0,0.0,0.0,1466.4733584784733
485,485,20,0,2589.371930827112,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.4835973782929,0.0,0.0,0.0,1466.4835973782929
486,486,20,0,2602.739856032673,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.4937627964089,0.0,0.0,0.0,1466.4937627964089
487,487,20,0,2616.1491040108435,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1466.5038554090352,0.0,0.0,0.0,1466.5038554090352
488,488,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
489,489,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
490,490,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
491,491,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
492,492,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
493,493,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
494,494,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
495,495,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
496,496,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
497,497,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
498,498,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
499,499,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
500,500,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
501,501,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
502,502,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
503,503,20,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
504,504,21,0,0.93,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,308.3205345431385,0.0,0.0,0.0,308.3205345431385
505,505,21,0,0.93,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,308.3205345431385,0.0,0.0,0.0,308.3205345431385
506,506,21,0,0.93,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,308.3205345431385,0.0,0.0,0.0,308.3205345431385
507,507,21,0,0.93,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,308.3205345431385,0.0,0.0,0.0,308.3205345431385
508,508,21,0,0.93,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,308.3205345431385,0.0,0.0,0.0,308.3205345431385
509,509,21,0,0.93,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,308.3205345431385,0.0,0.0,0.0,308.3205345431385
510,510,21,0,0.93,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,308.3205345431385,0.0,0.0,0.0,308.3205345431385
511,511,21,0,0.93,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,308.3205345431385,0.0,0.0,0.0,308.3205345431385
512,512,21,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
513,513,21,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
514,514,21,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
515,515,21,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
516,516,21,1,0.93,0.054114549544529614,0.625,0.0634114291562798,1.9040391304183244,38.080782608366455,3.5062668966861494,6.233363371886488,308.3205345431385,4.822393531106086,8.573144055299709,0.0032380986749360133,347.42173310182335
